,Date,Close
1475,2022-01-16,3.32
1476,2022-01-17,3.32
1477,2022-01-18,3.16
1478,2022-01-19,3.14
1479,2022-01-20,2.95
1480,2022-01-21,2.73
1481,2022-01-22,2.73
1482,2022-01-23,2.73
1483,2022-01-24,2.81
1484,2022-01-25,2.81
1485,2022-01-26,2.65
1486,2022-01-27,2.42
1487,2022-01-28,2.49
1488,2022-01-29,2.49
1489,2022-01-30,2.49
1490,2022-01-31,2.61
1491,2022-02-01,2.76
1492,2022-02-02,2.69
1493,2022-02-03,2.55
1494,2022-02-04,2.7
1495,2022-02-05,2.7
1496,2022-02-06,2.7
1497,2022-02-07,2.77
1498,2022-02-08,2.93
1499,2022-02-09,3.22
1500,2022-02-10,3.09
1501,2022-02-11,3.02
1502,2022-02-12,3.02
1503,2022-02-13,3.02
1504,2022-02-14,3.04
1505,2022-02-15,3.26
1506,2022-02-16,3.23
1507,2022-02-17,3.01
1508,2022-02-18,2.88
1509,2022-02-19,2.88
1510,2022-02-20,2.88
1511,2022-02-21,2.88
1512,2022-02-22,3.01
1513,2022-02-23,2.97
1514,2022-02-24,3.38
1515,2022-02-25,3.47
1516,2022-02-26,3.47
1517,2022-02-27,3.47
1518,2022-02-28,3.99
1519,2022-03-01,4.07
1520,2022-03-02,4.2
1521,2022-03-03,4.21
1522,2022-03-04,3.86
1523,2022-03-05,3.86
1524,2022-03-06,3.86
1525,2022-03-07,4.58
1526,2022-03-08,4.72
1527,2022-03-09,5.08
1528,2022-03-10,5.21
1529,2022-03-11,4.96
1530,2022-03-12,4.96
1531,2022-03-13,4.96
1532,2022-03-14,4.1
1533,2022-03-15,3.96
1534,2022-03-16,3.94
1535,2022-03-17,4.62
1536,2022-03-18,4.58
1537,2022-03-19,4.58
1538,2022-03-20,4.58
1539,2022-03-21,5.04
1540,2022-03-22,5.07
1541,2022-03-23,5.06
1542,2022-03-24,5.08
1543,2022-03-25,4.88
1544,2022-03-26,4.88
1545,2022-03-27,4.88
